gene_id,component,class
PF3D7_0102200,unknown,Unknown
PF3D7_0102300,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0102500,unknown,Unknown
PF3D7_0102600,unknown,Unknown
PF3D7_0102700,unknown,Unknown
PF3D7_0102800,unknown,Unknown
PF3D7_0102900,"aminoacyl-tRNA synthetase multienzyme complex,cytosol","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal)"
PF3D7_0103000,multivesicular body,Vesicles & Endosomes
PF3D7_0103100,"EARP complex,GARP complex,membrane","Intracellular protein complexes (internal),Membrane (general)"
PF3D7_0103200,plasma membrane,Membrane proteins
PF3D7_0103300,unknown,Unknown
PF3D7_0103400,"cytoplasm,microtubule cytoskeleton","Cytoplasm & Cytosol (internal),Cytoskeleton & associated"
PF3D7_0103500,unknown,Unknown
PF3D7_0103600,nucleolus,Nucleus (internal)
PF3D7_0103700,unknown,Unknown
PF3D7_0103800,nucleus,Nucleus (internal)
PF3D7_0103900,"COPII-coated ER to Golgi transport vesicle,Golgi membrane,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment","Endomembrane System & Golgi ER,Vesicles & Endosomes"
PF3D7_0104000,apicoplast,Apicoplast
PF3D7_0104100,unknown,Unknown
PF3D7_0104200,RBC membrane (HT),Membrane proteins (PEXEL/HT)
PF3D7_0104300,unknown,Unknown
PF3D7_0104400,"RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0104500,unknown,Unknown
PF3D7_0104600,unknown,Unknown
PF3D7_0104700,unknown,Unknown
PF3D7_0104800,unknown,Unknown
PF3D7_0105100,unknown,Unknown
PF3D7_0105200,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0105300,unknown,Unknown
PF3D7_0105400,unknown,Unknown
PF3D7_0105500,unknown,Unknown
PF3D7_0105600,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0105700,unknown,Unknown
PF3D7_0105800,unknown,Unknown
PF3D7_0105900,unknown,Unknown
PF3D7_0106000,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0106100,vacuolar proton-transporting V-type ATPase V1 domain,Vacuole/Lysosome & related
PF3D7_0106200,unknown,Unknown
PF3D7_0106300,membrane,Membrane (general)
PF3D7_0106400,nucleus,Nucleus (internal)
PF3D7_0106500,unknown,Unknown
PF3D7_0106600,unknown,Unknown
PF3D7_0106700,unknown,Unknown
PF3D7_0106800,"endocytic vesicle,endomembrane system,endosome","Endomembrane System & Golgi ER,Vesicles & Endosomes"
PF3D7_0106900,unknown,Unknown
PF3D7_0107000,"centriole,nucleus","Cytoskeleton & associated,Nucleus (internal)"
PF3D7_0107100,unknown,Unknown
PF3D7_0107200,unknown,Unknown
PF3D7_0107300,"RBC membrane (HT),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0107400,unknown,Unknown
PF3D7_0107500,membrane,Membrane (general)
PF3D7_0107600,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0107700,"RBC membrane (PEXEL),apicoplast,oligosaccharyltransferase complex","Apicoplast,Intracellular protein complexes (internal),Membrane proteins (PEXEL/HT)"
PF3D7_0107800,"Mre11 complex,site of double-strand break",DNA replication & repair complexes (internal)
PF3D7_0107900,unknown,Unknown
PF3D7_0108000,"cytosol,nucleus,proteasome core complex beta-subunit complex","Cytoplasm & Cytosol (internal),Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0108100,unknown,Unknown
PF3D7_0108300,unknown,Unknown
PF3D7_0108400,mitochondrial membrane,Mitochondrion & related
PF3D7_0108500,unknown,Unknown
PF3D7_0108600,unknown,Unknown
PF3D7_0108700,apicoplast,Apicoplast
PF3D7_0108800,unknown,Unknown
PF3D7_0109000,unknown,Unknown
PF3D7_0109100,unknown,Unknown
PF3D7_0109200,mRNA cleavage factor complex,Spliceosomal & RNP complexes (internal)
PF3D7_0109300,endoplasmic reticulum membrane,Endomembrane System & Golgi ER
PF3D7_0109400,microtubule cytoskeleton,Cytoskeleton & associated
PF3D7_0109500,NatB complex,Intracellular protein complexes (internal)
PF3D7_0109600,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0109700,"90S preribosome,nucleolus","Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_0109800,"cytoplasm,phenylalanine-tRNA ligase complex","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal)"
PF3D7_0110000,unknown,Unknown
PF3D7_0110100,unknown,Unknown
PF3D7_0110200,mitochondrion,Mitochondrion & related
PF3D7_0110400,RNA polymerase II core complex,Spliceosomal & RNP complexes (internal)
PF3D7_0110500,NuA4 histone acetyltransferase complex,Spliceosomal & RNP complexes (internal)
PF3D7_0110600,plasma membrane,Membrane proteins
PF3D7_0110700,nucleus,Nucleus (internal)
PF3D7_0110800,"nucleus,transcription preinitiation complex","Intracellular protein complexes (internal),Nucleus (internal)"
PF3D7_0110900,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0111000,"cytoplasm,kinesin complex,mitotic spindle astral microtubule,mitotic spindle midzone,nucleus","Cytoplasm & Cytosol (internal),Cytoskeleton & associated,Nucleus (internal)"
PF3D7_0111200,unknown,Unknown
PF3D7_0111300,nucleus,Nucleus (internal)
PF3D7_0111400,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0111500,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0111600,unknown,Unknown
PF3D7_0111700,unknown,Unknown
PF3D7_0111800,eukaryotic translation initiation factor 4F complex,Ribosome & translation complexes (internal)
PF3D7_0111900,"mitochondrial intermembrane space,nucleus","Mitochondrion & related,Nucleus (internal)"
PF3D7_0112000,unknown,Unknown
PF3D7_0112100,"RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0112200,membrane,Membrane (general)
PF3D7_0112800,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0112900,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0113000,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0113100,unknown,Unknown
PF3D7_0113200,unknown,Unknown
PF3D7_0113300,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0113400,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0113700,"RBC membrane (PEXEL),cytosol","Cytoplasm & Cytosol (internal),Membrane proteins (PEXEL/HT)"
PF3D7_0113800,unknown,Unknown
PF3D7_0113900,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0114000,unknown,Unknown
PF3D7_0114100,unknown,Unknown
PF3D7_0114200,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0114500,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0114700,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0114800,"RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0202100,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0202200,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0202300,apicoplast,Apicoplast
PF3D7_0202400,unknown,Unknown
PF3D7_0202500,apicoplast,Apicoplast
PF3D7_0202600,unknown,Unknown
PF3D7_0202700,"mitochondrion,polyprenyl diphosphate synthase complex","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0202800,unknown,Unknown
PF3D7_0202900,"Golgi apparatus,endoplasmic reticulum",Endomembrane System & Golgi ER
PF3D7_0203000,unknown,Unknown
PF3D7_0203100,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0203200,unknown,Unknown
PF3D7_0203300,"ERCC4-ERCC1 complex,nucleotide-excision repair factor 1 complex",DNA replication & repair complexes (internal)
PF3D7_0203400,unknown,Unknown
PF3D7_0203600,unknown,Unknown
PF3D7_0203700,"nucleolus,preribosome large subunit precursor","Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_0203800,unknown,Unknown
PF3D7_0203900,apicoplast,Apicoplast
PF3D7_0204000,"condensin complex,nucleus","Chromatin,Nucleus (internal)"
PF3D7_0204100,unknown,Unknown
PF3D7_0204200,apicoplast,Apicoplast
PF3D7_0204300,unknown,Unknown
PF3D7_0204400,unknown,Unknown
PF3D7_0204500,mitochondrion,Mitochondrion & related
PF3D7_0204600,nucleus,Nucleus (internal)
PF3D7_0204700,membrane,Membrane (general)
PF3D7_0204800,unknown,Unknown
PF3D7_0204900,unknown,Unknown
PF3D7_0205000,unknown,Unknown
PF3D7_0205100,unknown,Unknown
PF3D7_0205200,unknown,Unknown
PF3D7_0205300,unknown,Unknown
PF3D7_0205400,transcription export complex 2,Intracellular protein complexes (internal)
PF3D7_0205500,RNA polymerase II core complex,Spliceosomal & RNP complexes (internal)
PF3D7_0205600,unknown,Unknown
PF3D7_0205700,nuclear speck,Nucleus (internal)
PF3D7_0205800,unknown,Unknown
PF3D7_0205900,"nucleus,proteasome regulatory particle base subcomplex,proteasome storage granule","Intracellular protein complexes (internal),Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0206000,unknown,Unknown
PF3D7_0206100,apicoplast,Apicoplast
PF3D7_0206200,membrane,Membrane (general)
PF3D7_0206500,unknown,Unknown
PF3D7_0206600,RNA polymerase III complex,Spliceosomal & RNP complexes (internal)
PF3D7_0206700,unknown,Unknown
PF3D7_0206800,apicoplast,Apicoplast
PF3D7_0206900,unknown,Unknown
PF3D7_0207000,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0207100,unknown,Unknown
PF3D7_0207200,mitochondrion,Mitochondrion & related
PF3D7_0207300,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0207400,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0207500,"apicoplast,extracellular space,lysosome","Apicoplast,Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0207600,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0207700,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0207800,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0207900,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0208000,"extracellular space,lysosome","Extracellular/Secreted,Vacuole/Lysosome & related"
PF3D7_0208100,plasma membrane,Membrane proteins
PF3D7_0208200,"nucleolus,small-subunit processome","Nucleus (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0208300,unknown,Unknown
PF3D7_0208400,unknown,Unknown
PF3D7_0208500,apicoplast,Apicoplast
PF3D7_0208600,"apicoplast,mitochondrion","Apicoplast,Mitochondrion & related"
PF3D7_0208700,RNA polymerase I complex,Spliceosomal & RNP complexes (internal)
PF3D7_0208800,apicoplast,Apicoplast
PF3D7_0208900,apicoplast,Apicoplast
PF3D7_0209000,apicoplast,Apicoplast
PF3D7_0209100,unknown,Unknown
PF3D7_0209200,"cytoplasmic exosome (RNase complex),nuclear exosome (RNase complex),nucleolus","Intracellular protein complexes (internal),Nucleus (internal)"
PF3D7_0209300,apicoplast,Apicoplast
PF3D7_0209400,unknown,Unknown
PF3D7_0209500,unknown,Unknown
PF3D7_0209600,plasma membrane,Membrane proteins
PF3D7_0209700,nucleus,Nucleus (internal)
PF3D7_0209800,unknown,Unknown
PF3D7_0210000,Ssh1 translocon complex,Endomembrane System & Golgi ER
PF3D7_0210100,cytosolic ribosome,Ribosome & translation complexes (internal)
PF3D7_0210200,unknown,Unknown
PF3D7_0210300,plasma membrane,Membrane proteins
PF3D7_0210400,unknown,Unknown
PF3D7_0210500,unknown,Unknown
PF3D7_0210600,unknown,Unknown
PF3D7_0210700,"SNARE complex,endomembrane system,plasma membrane","Endomembrane System & Golgi ER,Intracellular protein complexes (internal),Membrane proteins"
PF3D7_0210800,apicoplast,Apicoplast
PF3D7_0210900,unknown,Unknown
PF3D7_0211100,unknown,Unknown
PF3D7_0211200,"endocytic vesicle,endomembrane system,endosome","Endomembrane System & Golgi ER,Vesicles & Endosomes"
